created_at,source,original_text,polarity,subjectivity,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,place,hashtags_in_tweets,screen_name
2021-06-18 17:57:18+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",it is really something to see new research coming out about damage to the brain  heart  and more from #covid    and then watch our government reopen everything and just let covid and #deltavariant spread wildly throughout our country   vaccines are great but we need to do more ,0.3727272727272727,0.4674242424242424,5,3,sherid17536431,470,1240,False,#covid19,nashville,"#covid, #deltavariant",@longcovidnyc
2021-06-18 17:57:19+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",africa is in the midst of a full blown third wave  the sobering trajectory of surging cases should rouse everyone into urgent action    we ve seen in india and elsewhere just how quickly #covid   can rebound and overwhelm health systems ,0.1958333333333333,0.2875,67,77,duncansteele8,48,74,False, , ,#covid,@dr matshidiso moeti
2021-06-18 17:57:20+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>", drtedros  less than    of africa s population has been vaccinated   vaccines donated next year will be far too late for those who are dying today  or being infected today  or at risk today   drtedros #covid   #vaccinequity,-0.0916666666666666,0.4166666666666666,55,32,chrisramsden4,678,570,False, ,kent,"#covid, #vaccinequity","@world health organization (who), @world health organization (who)"
2021-06-18 17:57:22+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",so glad to join training day for the dc #covid   community corps  they will be going door to door and attending events to encourage residents to #taketheshotdc   together  we ll crush the virus   ,0.625,1.0,6,3,stevenlwalker,5769,1848,False,#covid19,bending stuff towards justice,"#covid, #taketheshotdc",@john j. falcicchio
2021-06-18 17:57:24+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate request for vaccines to africa  we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa ,0.1333333333333333,0.4555555555555555,203,95,yuccaldo,1309,2618,False, ,"#mrna/@pfizer 1.shot, 23.04", ,@anthony costello
2021-06-18 17:57:30+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>", mb     winnipeg     available mrna vaccines    scurfield pharmacy          scurfield blvd                    call to confirm availability book appointment   #protectmb  #vhcdose  #covid  mb #vhcmb,0.625,0.4,5,2,leahmochula,84,592,False, , ,"#protectmb, #vhcdose, #covid, #vhcmb",@vaccine hunters canada
2021-06-18 17:57:31+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>", robinmonotti   riseoftheproles btw  covid   deaths are super inflated by a rigged pcr test  using a survival rate of the covid   virus of        the death by vaccines comparison is infinitely higher  try    million times more likely to die by the covid   shot than the  actual  virus               ,0.2333333333333333,0.5533333333333333,3,3,siborg76,558,1684,False, ,"england, united kingdom", ,"@kmg6990, @kmg6990, @kmg6990"
2021-06-18 17:57:31+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate request for vaccines to africa  we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa  ,0.1333333333333333,0.4555555555555555,203,96,drrobinfawcett,85,110,False, ,london, ,@anthony costello
2021-06-18 17:57:40+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",that s great  but there are now  zero  appointments available within a   hour driving radius of winnipeg for anyone who can only get pfizer for shot      save pfizer for our kids  they don t have a choice between vaccines    kindrachukjason  souradets #mbpoli,0.4000000000000001,0.7166666666666667,29,5,signpostpoetry,850,1827,False, ,treaty one,#mbpoli,@jillian
2021-06-18 17:57:40+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",a free      webinar will review the state of #covid   in brazil  india  and south africa and explore what lessons w  ,0.4,0.8,0,0,sharon_inouye,6100,1556,False,#covid19,united states,#covid, 
2021-06-18 17:57:42+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",biocubafarma says phase   clinical trial results for #cuban #covid   #vaccines are due out in a few days  soberana    with and without booster  and abdala were tested in   k  volunteers in havana and eastern cuba   biocubafarma  finlayinstituto  cda dc  wola org  aperezriverol ,-0.1625,0.2375,54,29,laureiropedro1,45,258,False,"#cuban, #cuban, #cuban", ,"#cuban, #covid, #vaccines",@gailreedmedicc
2021-06-18 17:57:43+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",africa is in the midst of a full blown third wave  the sobering trajectory of surging cases should rouse everyone into urgent action    we ve seen in india and elsewhere just how quickly #covid   can rebound and overwhelm health systems ,0.1958333333333333,0.2875,68,78,yuccaldo,1309,2618,False, ,"#mrna/@pfizer 1.shot, 23.04",#covid,@dr matshidiso moeti
2021-06-18 17:57:48+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>", africa is  in the midst of a full blown third wave  of coronavirus  the head of  whoafro has warned  cases have risen across the continent by more than     and deaths have also risen by     in the last week   jriggers reports     ,0.1666666666666666,0.1888888888888888,548,614,sportsmk,755,646,False, ,texas, ,"@telegraph global health security, @telegraph global health security"
2021-06-18 17:57:48+00:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">tweetdeck</a>",it is really something to see new research coming out about damage to the brain  heart  and more from #covid    and then watch our government reopen everything and just let covid and #deltavariant spread wildly throughout our country   vaccines are great but we need to do more ,0.3727272727272727,0.4674242424242424,6,4,rgc_bppa,2689,5003,False,#covid19,"lafayette, louisiana","#covid, #deltavariant",@longcovidnyc
2021-06-18 17:57:55+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",we are dying  ugandans need the world to stand with them  we need oxygen  ppes  #covid   vaccines and money to pay our over stretched health workers  world  we need each other    oxygen failure kills    covid patients at mulago   via  dailymonitor,-0.2364583333333333,0.3375,855,485,saanchi_saxena,153,350,False,#covid19, ,#covid,@winnie byanyima
2021-06-18 17:57:59+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",#ernreconnet meeting  #sle and #covid   #vaccines    that s the reason why erns were developed      #patientsinvolvement #bestpractices for people living with #systemiclupuserythematosus ,0.1,0.3,6,4,natxrp,70,305,False,"#ernreconnet, #ernreconnet, #ernreconnet, #ernreconnet, #ernreconnet","barcelona, espanya","#ernreconnet, #sle, #covid, #vaccines, #patientsinvolvement, #bestpractices, #systemiclupuserythematosus",@ern reconnet 🇪🇺
2021-06-18 17:57:59+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>", africa needs millions more doses here  amp  now to curb the third wave    in the midst of a third wave of #covid   cases in #africa  dr  moetitshidi calls out for much needed covid    vaccine doses during this critical time  ,0.125,0.325,62,48,yuccaldo,1309,2619,False,#covid19,"#mrna/@pfizer 1.shot, 23.04","#covid, #africa",@who african region
2021-06-18 17:58:01+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",a new  eurobarometereu survey shows     of europeans intend to get vaccinated against #covid   this year  but people aged under    are more hesitant       also believe the eu plays a key role in ensuring access to vaccines in their country      more info   #strongertogether,0.2072727272727272,0.5709090909090909,102,50,caleeuropaedic,2228,2720,False,#covid19, ,"#covid, #strongertogether","@european commission 🇪🇺, @european commission 🇪🇺"
2021-06-18 17:58:02+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",we are dying  ugandans need the world to stand with them  we need oxygen  ppes  #covid   vaccines and money to pay our over stretched health workers  world  we need each other    oxygen failure kills    covid patients at mulago   via  dailymonitor,-0.2364583333333333,0.3375,855,486,chloekam09,478,441,False,#covid19, ,#covid,@winnie byanyima
2021-06-18 17:58:08+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",global partnership is needed to achieve global elimination of cervical cancer globally  #covid   has shown that we  ,0.0,0.0,0,0,runciecwc,6467,2529,False,#covid19,nigeria,#covid, 
